#在候选词中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 不同的应用，使用不同的简写做为前缀：
# 微信	Wx
# 飞书	Fs
# 钉钉	Dt
# QQ	Qq
# 表情表达式（例如：[Done]；再如：/hanx)放于{}内，例如{[Done]}；再如{/hanx}
done 完成 搞定	esFs{[完成]} esDt{[Done]}
惊恐 惊喜	esFsWx{[惊恐]} esDt{[惊喜]}
惊恐 惊愕	esDt{[惊愕]}
回头	esDt{[回头]}
惊讶	esWxDt{[惊讶]}
静静	esFs{[我想静静]}
居家	esFs{[在家办公]}
举手	esFsDt{[举手]} esWx{[嘿哈]}
开车 驾驶	esDt{[开车]}
大腿	esDt{[抱大腿]}
跪了 认输	esDt{[跪了]}
鞠躬 道歉	esDt{[鞠躬]} esDt{[对不起]}
对不起	esDt{[对不起]}
我	esDt{[选我]}
气泡 聊天 留言	esDt{[气泡]}
精神	esDt{[元气满满]}
咖啡 休闲	esFsWxDt{[咖啡]}
看 呵呵	esFs{[看]} esFsDt{[白眼]}
考虑 思考	esFsDt{[思考]}  esFs{[思考中]} esDt{[专注]}
专注 认真 上班 办公	esDt{[专注]}
繁忙	esDt{[忙疯了]}
瞌睡	esFs{[哈欠]} esFs{[困]}
困 困了	esFsWx{[困]} esFs{[哈欠]}
睡 睡觉	esWxDt{[睡]} esFs{[鼾睡]}
鼾睡	esFs{[鼾睡]}
可爱	esWx{[愉快]} esFsWxDt{[呲牙]} esDt{[可爱]}
可爱 调皮	esFsWxDt{[调皮]}
愉快	esFsWx{[愉快]}
可怜	esFsWxDt{[可怜]}
可以	esFs{[Yes]} esFs{[我看行]} esWxDt{[666]}
顺	esWxDt{[666]}
抠鼻	esFsWxDt{[抠鼻]}
鼻血	esDt{[流鼻血]}
哭	esFsDt{[快哭了]} esFs{[泣不成声]} esFsDt{[大哭]}
骷髅	esFsWx{[骷髅]}
苦涩 泪目	esWx{[苦涩]}
酷	esFs{[酷]} esWx{[得意]} esDt{[推眼镜]}
偷看 关注 窥视	esDt{[暗中观察]}
喇叭 广播	esFs{[喇叭]} esDt{[广播]}
冷笑	esDt{[冷笑]}
热	esDt{[热]}
脑暴	esDt{[脑暴]}
自信	esDt{[自信]}
辣椒	esFs{[辣椒]}
了解	esFs{[了解]}
招呼 嗨	esDt{[打招呼]} esDt{[在吗]}
在吗	esDt{[在吗]}
泪奔	esFs{[泪奔]}
冷汗	esFs{[冷汗]}
礼物	esFsWxDt{[礼物]}
生日 蛋糕	esDt{[生日快乐]}
厉害	esFs{[强]} esDt{[你强]} esFs{[牛]} esFsDt{[赞]} esFsDt{[100分]}
满分 棒	esFsDt{[100分]} esFs{[牛]} esFs{[强]} esDt{[你强]} esFsDt{[赞]}
牛	esFs{[牛]} esFs{[强]} esDt{[你强]} esFsDt{[赞]} esFsDt{[100分]} esFs{[公牛]} esFs{[小牛]}
强	esFs{[强]} esDt{[你强]} esFs{[牛]} esFsDt{[赞]} esFsDt{[100分]} esWx{[强]}
赞 点赞 拇指	esFsDt{[赞]} esFs{[牛]} esFs{[强]} esDt{[你强]} esFsDt{[100分]} esDt{[点赞]}
平安 健康	esDt{[平安健康]}
满意	esFsDt{[100分]}
一定	esDt{[定胜]}
怒吼	esDt{[怒吼]}
脸红	esFs{[脸红]}
裂开	esWxDt{[裂开]}
恭喜	esDt{[恭喜]}
流汗	esWxDt{[流汗]}
老板	esDt{[老板]}
流泪	esFsWxDt{[流泪]}
绿帽	esWx{[悠闲]}
骂	esWx{[咒骂]}
骂人	esWx{[咒骂]}
鲜花 玫瑰	esFsWx{[玫瑰]} esDt{[鲜花]}
摸摸 摸头 安慰	esFs{[摸头]} esDt{[摸摸]}
奶茶	esFsDt{[奶茶]}
茶 喝茶	esDt{[茶]}
南瓜灯	esFs{[南瓜灯]}
难过	esWx{[难过]}
闹钟	esFs{[闹钟]} esDt{[时间]}
时间	esDt{[时间]}
柠檬	esFs{[柠檬]}
怄火	esWx{[怄火]}
拍手	esFsDt{[鼓掌]}
派对	esFs{[派对]}
啤酒	esFsWx{[啤酒]}
撇嘴	esFsWx{[撇嘴]}
强壮	esWx{[强壮]}
亲亲	esWxDt{[亲亲]}
庆祝	esWx{[庆祝]}
抱拳	esFsWxDt{[抱拳]}
拳头	esWx{[拳头]}
碰拳	esFs{[碰拳]}
拳	esFs{[碰拳]} esFsWDt{[抱拳]} esWx{[拳头]}
日程	esFs{[日程]}
弱	esWx{[弱]}
撒花 祝贺 欢迎	esFsDt{[撒花]} esDt{[干杯]}
干杯	esDt{[干杯]}
魔法	esDt{[魔法棒]}
色	esWxDt{[色]}
稍等 稍候 勿扰	esFs{[稍等]} esDt{[等一等]}
社会 大哥	esWx{[社会社会]}
什么	esFs{[什么？]}
圣诞节	esFs{[圣诞树]} esFs{[圣诞帽]} esFs{[雪人]}
圣诞帽 帽子	esFs{[圣诞帽]}
树 圣诞树	esFs{[圣诞树]}
胜利	esWxDt{[胜利]}
石化	esFs{[石化]}
屎	esFs{[便便]}
收到 了解	esFs{[了解]} esDt{[收到]}
快来	esDt{[快来]}
书 书本 读书 看书	esFs{[精神补给]}
会议 开会	esDt{[会议]}
衰	esFsWxDt{[衰]}
送花	esFs{[送你小红花]} esDt{[送花花]}
送心	esFs{[送心]}
酸	esFs{[柠檬]}
太阳	esFs{[辛勤营业]} esWx{[太阳]}
叹气 唉	esFsWx{[叹气]}
糗 出糗	esWx{[糗大了]}
跳跳	esWx{[跳跳]}
听歌	esFs{[听歌]}
认同 同意 附议 确实	esFs{[+1]} esDt{[加一]}
偷笑 捂嘴	esFsWxDt{[偷笑]}
无聊	esDt{[无聊]}
图钉 钉子	esFs{[图钉]} esDt{[钉子]}
吐 呕 呕吐	esFsWxDt{[吐]}
吐舌	esFs{[吐舌]}
吐血	esFs{[吐血]}
兔	esFs{[玉兔]} esFs{[欢兔喝彩]}
兔子	esFs{[玉兔]} esFs{[欢兔喝彩]}
哇	esWx{[哇]}
完成	esFs{[完成]}
万圣节 南瓜	esFs{[南瓜灯]}
旺柴	esWx{[旺柴]}
微笑	esFsWxDt{[微笑]}
灵感	esDt{[灵感]}
委屈	esFsWxDt{[委屈]} esFsWxDt{[快哭了]}
我看	esWx{[让我看看]}
我看行	esFs{[我看行]}
握手	esFsWxDt{[握手]}
无辜	esFs{[呆无辜]} esFs{[无辜笑]}
致敬	esFs{[致敬]}
摊手 摊牌	esFs{[耸肩摊手]} esDt{[摊手]}
无语	esFs{[无语]}
勿扰	esFs{[请勿打扰]}
西瓜	esWx{[西瓜]}
吓人	esWx{[惊恐]}
小牛	esFs{[小牛]}
笑 嘻嘻 笑脸 老实 傻笑 呲牙	esFsWxDt{[呲牙]} esWx{[破涕为笑]} esDt{[傻笑]}
笑哭	esFsDt{[笑哭]} esWx{[破涕为笑]}
谢谢 感谢 辛苦	esFs{[双手合十]} esWx{[合十]} esFsDt{[感谢]}
拒绝 不要	esDt{[拒绝]}
心 比心	esFsDt{[比心]}
心碎	esFsWxDt{[心碎]}
嘘 安静	esFsWxDt{[嘘]} esDt{[静音]}
静音 禁言 勿扰	esDt{[静音]}
学习 培训	esFs{[精神补给]}
地球	esDt{[地球]}
雪人	esFs{[雪人]}
回收 绿色	esDt{[回收标志]}
烟花 焰火	esFsDt{[烟花]}
幼苗 发芽 苗子	esDt{[幼苗]}
音乐	esFs{[音乐]}
拥抱	esWx{[拥抱]}
悠闲	esWx{[悠闲]}
元宵	esFs{[元宵]}
月饼 中秋	esFsDt{[月饼]}
月亮	esFs{[天色已晚]} esWx{[月亮]}
晕	esFsWxDt{[晕]}
炸弹	esFsWxDt{[炸弹]}
震惊	esFs{[震惊]}
咒骂	esWx{[咒骂]}
皱眉	esFs{[皱眉]}
猪头	esWx{[猪头]}
抓狂	esFsWx{[抓狂]}
转圈	esWx{[转圈]}
嘴唇 亲亲	esFsWx{[嘴唇]}
失望	esWx{[失望]}
跳舞	esDt{[跳舞]}
无奈	esDt{[无奈]}
感冒 口罩	esDt{[感冒]} esFs{[戴口罩]}
